epoch,train/loss/total,validation/loss/total
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.9
1,1.0,0.9
0,1.0,1.0
1,1.0,0.8
0,1.0,0.9
1,1.0,0.9
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.9
1,1.0,0.9
0,1.0,1.0
1,1.0,0.8
0,1.0,0.9
1,1.0,0.9
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.9
1,1.0,0.9
0,1.0,1.0
1,1.0,0.8
0,1.0,0.9
1,1.0,0.9
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.8
0,1.0,0.9
1,1.0,0.9
0,1.0,1.0
1,1.0,0.8
0,1.0,0.9
1,1.0,0.9
0,1.0,0.8
0,1.0,0.8
